first_pca,second_pca
-0.016451724829076003,-0.13152111903965852
-0.015566664110757357,-0.6764483816019325
-0.08712460020178467,0.12124481492239958
-0.02914126876665115,-0.6756713413842327
0.45922130372205255,-0.05668552414401448
0.13212518987377608,0.014551349975753023
-0.3087366949223837,-0.11269183281813666
0.33606462627816025,-0.05126189537848895
0.47194588393448533,-0.06036657578162625
-0.4370080481144109,0.033716251167254255
0.201772079239031,0.15164474817887608
0.2790169882372082,-0.013369568124654028
-0.009554364189980425,0.0500576732788267
0.03456810139089018,0.06814339777369272
-0.14453517260791882,0.005515128753193368
