first_pca,second_pca
-0.03065161670517407,-0.5549650962813285
-0.018129332644780703,-0.35860865503454903
-0.08559776670181443,0.10306477288044945
-0.03185460561626497,-0.36128554015341
0.4568275799280167,-0.12635645121442657
0.13460291279620776,0.12580701569262315
-0.3098721495597857,-0.09344196391758722
0.3371287826102082,0.02989664024086033
0.47015189978275357,-0.09948796340764335
-0.43630845185722095,0.0431571307335688
0.2028207161947416,0.09790223945629621
0.2778927210857424,-0.07073231610128757
-0.00925897430360145,0.0373196531679375
0.037898564873643834,0.17534262948128215
-0.14722137162080465,-0.11988771282820097
-0.030651616705174238,-0.5549650962813286
