,Country,Code,Year,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,country_code,region,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,age5-19thinness,age5-19obesity,hepatitis,measles,polio,diphtheria,basic_water,doctors,hospitals,gni_capita,gghe-d,che_gdp,une_pop,une_infant,une_life,une_hiv,une_gni,une_poverty,une_edu_spend,une_literacy,une_school,Region,Hemisphere,HappinessScore,HDI,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita,Alcohol_PerCapita
62,Bulgaria,BGR,2010,11.32,17440.67188,7425011,,BGR,Europe,73.7895,19.05208,143.4352,0.008815,0.00044,10.16379,26,2,8,95,97,94,94,99.3978,37.661,,13950,3.92519,7.10581,7425.008,9,73.5122,0.1,14620,2,3.86346,,10.81686,Central and Eastern Europe,north,4.217,810,7.469,2.8875,3.15,1.175,7.2125
63,Bulgaria,BGR,2015,12.34,19620.15398,7199739,Europe,BGR,Europe,74.70648,19.65459,136.1949,0.007795,0.00037,11.2422,26.4,1.9,10.3,92,92,91,91,99.18851,40.332,,,4.17152,8.20273,7199.741,6.9,74.61463,0.1,17820,,,,11.27833,Central and Eastern Europe,north,4.217,810,7.469,2.8875,3.15,1.175,7.2125
64,Burkina Faso,BFA,2000,8.4,1296.74796,11607951,,BFA,Africa,50.08198,14.30544,341.7645,0.1,0.026125,4.5059,20.9,11.5,0.1,,48,45,45,54.91951,,,840,1.08096,3.31752,11607.942,90.9,50.489,2.1,850,,,,,Sub-Saharan Africa,north,3.739,420,614,0.3125,0.0875,0.0875,0.4875
65,Burkina Faso,BFA,2005,9.19,1527.022159,13421935,,BFA,Africa,52.94891,14.65442,313.5035,0.088175,0.02105,5.86511,21.4,10.3,0.3,,84,94,82,53.16201,,,1120,1.37496,4.44256,13421.93,80.5,53.31,1.5,1120,,4.4326,23.55372,,Sub-Saharan Africa,north,3.739,420,614,0.3125,0.0875,0.0875,0.4875
66,Burkina Faso,BFA,2010,8.58,1716.358323,15605211,,BFA,Africa,57.04797,15.09733,277.1894,0.070045,0.013965,5.51179,21.8,9.1,0.5,91,92,90,91,50.8247,0.457,,1390,1.46921,5.89296,15605.217,65.2,57.096,1.2,1360,,3.93896,,,Sub-Saharan Africa,north,3.739,420,614,0.3125,0.0875,0.0875,0.4875
67,Burkina Faso,BFA,2015,11.83,1925.332075,18110616,Africa,BFA,Africa,59.82518,15.43169,259.5785,0.05771,0.009245,7.12121,22.1,8,0.9,91,88,91,91,48.66046,0.657,,,1.65293,5.8253,18110.624,53.6,59.919,0.9,1650,,4.16607,,,Sub-Saharan Africa,north,3.739,420,614,0.3125,0.0875,0.0875,0.4875
68,Cambodia,KHM,2000,1.87,1481.656828,12155241,,KHM,Western Pacific,57.74188,15.46996,279.7494,0.09191,0.007485,0.60495,20.7,11.8,0.6,,65,62,59,52.34763,1.684,,1050,1.29261,6.54095,12155.239,79.5,58.432,1.2,1060,,1.65599,,,Southeastern Asia,north,3.907,576,1.27,0.7125,0.8125,0.0125,1.5375
69,Cambodia,KHM,2005,2.69,2120.551717,13273355,,KHM,Western Pacific,62.81339,16.28398,249.4281,0.055955,0.00336,1.10496,21.1,11.6,1.1,,79,82,82,59.89115,,,1660,1.2207,6.85279,13273.354,53.2,63.088,1,1670,,,,,Southeastern Asia,north,3.907,576,1.27,0.7125,0.8125,0.0125,1.5375
70,Cambodia,KHM,2010,4.91,2716.699738,14312205,,KHM,Western Pacific,67.08083,16.90827,196.3408,0.036905,0.00179,2.15683,21.6,11.2,1.8,91,90,90,90,67.55123,2.302,,2350,1.36283,6.9117,14312.212,37.7,66.56,0.8,2360,,1.53379,,,Southeastern Asia,north,3.907,576,1.27,0.7125,0.8125,0.0125,1.5375
71,Cambodia,KHM,2015,6.37,3546.339387,15521435,Asia,KHM,Western Pacific,69.03076,17.2627,174.2963,0.028845,0.00116,3.34408,22.1,11,2.9,92,84,92,92,75.3811,,,,1.34465,6.19432,15521.436,27.5,68.637,0.6,3300,,,80.52649,3.67808,Southeastern Asia,north,3.907,576,1.27,0.7125,0.8125,0.0125,1.5375
72,Cameroon,CMR,2000,6.69,2750.511165,15513944,,CMR,Africa,49.35521,14.90295,412.2737,0.110125,0.018815,3.89494,23,7.9,1,,49,57,62,59.17722,,,1710,0.67431,3.98235,15513.945,90.7,50.993,4.6,1920,,1.77992,68.40916,,Sub-Saharan Africa,south,4.513,553,1.375,1.8375,0.0125,0.05,1.9
73,Cameroon,CMR,2005,7.62,2982.025081,17733408,,CMR,Africa,52.33826,15.68669,388.8838,0.088955,0.014725,4.90155,23.6,7.1,1.4,79,68,79,80,59.90897,0.592,,2090,0.70871,4.1421,17733.41,79,52.76,4.8,2410,,2.88717,,,Sub-Saharan Africa,south,4.513,553,1.375,1.8375,0.0125,0.05,1.9
74,Cameroon,CMR,2010,8.43,3086.221474,20341236,,CMR,Africa,55.38051,16.23225,354.8312,0.072385,0.011015,5.96451,24,6.3,2,84,79,83,84,60.2486,0.842,,2390,0.81222,4.50392,20341.241,67.1,55.101,4.5,2790,,2.99366,71.29051,5.2061,Sub-Saharan Africa,south,4.513,553,1.375,1.8375,0.0125,0.05,1.9
75,Cameroon,CMR,2015,6.17,3458.692713,23298376,Africa,CMR,Africa,57.23619,16.36605,355.0426,0.0576,0.00783,4.59168,24.3,5.7,2.7,78,74,77,78,60.20856,,,,0.67956,4.69952,23298.368,55.7,57.583,3.9,3390,,2.76805,,,Sub-Saharan Africa,south,4.513,553,1.375,1.8375,0.0125,0.05,1.9
76,Canada,CAN,2010,10.1,44861.52396,34147566,,CAN,Americas,81.55827,24.61516,68.8874,0.004975,0.000175,8.3,26.8,0.5,11,56,90,90,89,99.2695,,,39200,7.88173,10.68207,34147.564,4.9,81.24634,,39310,0.2,5.36993,,,North America,north,7.404,922,42.349,3,1.525,1.25,5.775
77,Canada,CAN,2015,8.88,47522.14067,36026668,North America,CAN,Americas,82.57514,25.46581,63.82228,0.00444,0.00018,8,26.9,0.5,12.1,69,89,91,91,99.38903,,,,7.84179,10.51069,36026.676,4.6,81.9,,43990,,,,,North America,north,7.404,922,42.349,3,1.525,1.25,5.775
78,Chad,TCD,2000,4.34,897.3470374,8355654,,TCD,Africa,47.89056,15.15346,412.8983,0.111365,0.02491,0.29929,20.9,11.6,0.4,,28,30,36,41.41298,0.281,,730,2.07644,5.4575,8355.654,100.5,47.713,1.8,780,,2.64671,25.65421,,Sub-Saharan Africa,north,3.763,405,651,0.1875,0.0125,0.0125,0.2125
79,Chad,TCD,2005,4.62,1618.136616,10096630,,TCD,Africa,49.30196,15.29758,412.3983,0.10206,0.021815,0.45574,21.3,10.6,0.6,,27,37,25,40.66631,,,1380,1.42995,4.84111,10096.633,93.2,48.549,1.5,1350,,1.69477,,,Sub-Saharan Africa,north,3.763,405,651,0.1875,0.0125,0.0125,0.2125
80,Chad,TCD,2010,6.58,1732.691584,11952134,,TCD,Africa,51.90731,15.60118,373.4454,0.093185,0.01862,1.03685,21.6,9.6,0.9,39,46,43,39,39.82036,,,1850,0.8518,4.06023,11952.136,84.9,50.89,1.5,1810,,1.98194,,,Sub-Saharan Africa,north,3.763,405,651,0.1875,0.0125,0.0125,0.2125
81,Chad,TCD,2015,1.45,1857.107864,14110971,Africa,TCD,Africa,53.67817,15.85286,366.9976,0.08268,0.015275,0.50478,21.9,8.6,1.4,42,46,52,42,39.00699,0.493,,,0.96198,4.52395,14110.975,76.5,53.137,1.4,2130,,,26.00299,,Sub-Saharan Africa,north,3.763,405,651,0.1875,0.0125,0.0125,0.2125
82,Chile,CHL,2000,7.74,15638.00094,15342350,,CHL,Americas,77.12842,21.64045,102.7769,0.00924,0.00043,6.23825,26.6,1.1,9.6,,97,91,91,95.68061,,,9320,2.51822,7.03518,15342.353,9.2,76.366,0.2,9220,4.4,3.77583,,,Latin America and Caribbean,south,6.705,842,13.961,1.625,1.55,2.15,5.325
83,Chile,CHL,2005,8.93,18634.62644,16182713,,CHL,Americas,78.01673,22.17311,94.6391,0.00788,0.00036,7.57,27,1,11,,90,92,91,97.11694,9.804,,11700,2.59217,6.58872,16182.721,7.7,77.63,0.2,11640,,3.26283,,,Latin America and Caribbean,south,6.705,842,13.961,1.625,1.55,2.15,5.325
84,Chile,CHL,2010,9.31,21262.46699,17062531,,CHL,Americas,78.32958,22.4313,93.62885,0.007385,0.000345,7.55,27.4,0.8,12.7,92,93,92,92,98.40616,14.333,,17010,3.19128,6.77489,17062.536,7.4,78.779,0.4,16880,,4.16209,,9.84954,Latin America and Caribbean,south,6.705,842,13.961,1.625,1.55,2.15,5.325
85,Chile,CHL,2015,9.26,24440.41526,17969356,South America,CHL,Americas,79.37881,23.33201,88.14423,0.00754,0.00028,7.89,27.9,0.8,14.8,97,96,96,96,99.60089,21.47,,,3.98668,8.30269,17969.353,6.7,79.646,0.5,22010,1.3,4.87531,96.87413,10.25012,Latin America and Caribbean,south,6.705,842,13.961,1.625,1.55,2.15,5.325
86,China,CHN,2000,3.81,3451.679231,1290550767,,CHN,Western Pacific,72.09383,18.34808,110.3129,0.02827,0.00183,3.01254,22.4,5.8,2.1,60,84,86,85,80.39258,12.356,,2830,0.98305,4.47342,1290550.765,30.1,71.397,,2900,,,90.92021,5.92727,Eastern Asia,noth,5.245,748,8.117,0.9875,2.4,0.1,3.4875
87,China,CHN,2005,4.02,5334.646639,1330776380,,CHN,Western Pacific,74.15009,19.11255,95.0537,0.01954,0.00096,2.91905,22.8,5,3.4,84,86,87,87,84.47221,12.127,,4930,1.3569,4.14222,1330776.38,20.3,72.985,,5050,18.5,,,,Eastern Asia,noth,5.245,748,8.117,0.9875,2.4,0.1,3.4875
88,China,CHN,2010,7.07,8884.588031,1368810604,,CHN,Western Pacific,75.23349,19.42305,87.96339,0.01386,0.000565,5.74699,23.2,4.2,6.2,99,99,99,99,88.48477,14.532,,9010,2.18421,4.20799,1368810.615,13.6,74.409,,9260,11.2,,95.12448,6.7208,Eastern Asia,noth,5.245,748,8.117,0.9875,2.4,0.1,3.4875
89,China,CHN,2015,7.15,12691.82155,1406847868,Asia,CHN,Western Pacific,76.18391,19.73934,81.5249,0.009085,0.000375,5.66114,23.7,3.5,10.7,99,99,99,99,91.73492,17.732,,,2.94208,4.88872,1406847.87,9.2,75.928,,14400,0.7,,,,Eastern Asia,noth,5.245,748,8.117,0.9875,2.4,0.1,3.4875
90,Colombia,COL,2000,5.58,9042.662791,39629965,,COL,Americas,71.0789,19.644,171.4431,0.022295,0.000985,4.5158,24.8,2.5,3.5,78,88,82,79,90.93352,,,6520,4.21286,5.6523,39629.968,21.1,72.945,0.4,6550,16.4,3.51121,,,Latin America and Caribbean,both,6.481,747,5.757,1.9875,0.95,0.0375,2.975
91,Colombia,COL,2005,5.41,10049.12618,42647731,,COL,Americas,72.9055,20.0276,144.2845,0.018,0.000835,4.26607,25.3,2.3,4.3,93,96,93,93,93.03168,14.727,,7970,4.37057,6.08541,42647.723,18.3,74.265,0.4,8110,9.7,4.03313,92.84866,7.31597,Latin America and Caribbean,both,6.481,747,5.757,1.9875,0.95,0.0375,2.975
92,Colombia,COL,2010,5.04,11783.29991,45222699,,COL,Americas,73.54784,20.74383,145.5865,0.0165,0.000705,4.18716,25.7,2.2,5.3,88,88,88,88,94.94308,15.917,,10130,5.11546,7.08266,45222.7,15.8,75.424,0.4,10340,7.7,4.84159,93.37233,7.38101,Latin America and Caribbean,both,6.481,747,5.757,1.9875,0.95,0.0375,2.975
93,Colombia,COL,2015,5.78,14095.74836,47520667,South America,COL,Americas,74.89628,21.66354,138.1038,0.013735,0.000565,4.47523,26.1,2,6.7,91,94,91,91,96.68085,19.742,,,5.10567,7.29742,47520.667,13.5,76.531,0.4,13810,4.5,4.47039,94.24505,8.03163,Latin America and Caribbean,both,6.481,747,5.757,1.9875,0.95,0.0375,2.975
94,Comoros,COM,2000,0.19,2833.591016,542358,,COM,Africa,59.50864,15.69304,272.1266,0.078065,0.008035,0.08,22.8,8,0.8,,70,70,70,90.94792,,,1250,1.59039,12.24033,542.357,73.2,59.46,0.1,1900,,,68.48923,,Sub-Saharan Africa,south,3.956,502,775,0.0125,0.0375,0.0125,0.0625
95,Comoros,COM,2005,0.44,2815.702121,611625,,COM,Africa,60.05529,15.77419,265.8488,0.07654,0.00776,0.23702,23.3,7.5,1.2,68,67,67,68,87.50908,1.897,,1410,1.328,9.8587,611.627,71.5,60.126,0.1,2110,,,,,Sub-Saharan Africa,south,3.956,502,775,0.0125,0.0375,0.0125,0.0625
96,Comoros,COM,2010,0.25,2878.26971,689696,,COM,Africa,61.83714,16.04836,245.417,0.067815,0.006475,0.13948,23.8,7.1,1.8,74,72,82,74,83.40598,,,1460,0.77739,8.51496,689.692,63.8,61.862,0.1,2370,,,,,Sub-Saharan Africa,south,3.956,502,775,0.0125,0.0375,0.0125,0.0625
97,Comoros,COM,2015,0.88,2959.498097,777435,Africa,COM,Africa,63.57791,16.3021,227.3448,0.05861,0.00519,0.22526,24.3,6.7,2.6,91,90,92,91,80.132,,,,1.0499,7.77522,777.424,56,63.471,0.1,2670,,2.48708,,,Sub-Saharan Africa,south,3.956,502,775,0.0125,0.0375,0.0125,0.0625
98,Costa Rica,CRI,2000,5.55,12624.07057,3962369,,CRI,Americas,77.43206,22.22002,99.87966,0.010965,0.000455,4.23736,25.8,2.4,5.3,89,82,80,88,94.10867,13.133,,6990,4.28047,6.59314,3962.372,11.1,77.452,0.2,7430,6.5,4.68696,94.86819,,Latin America and Caribbean,north,7.087,791,11.733,1.8625,1.0875,0.1375,3.0875
99,Costa Rica,CRI,2005,5.42,14149.51924,4285504,,CRI,Americas,78.71661,23.31425,95.50304,0.00964,0.000355,4.11345,26.3,2.1,7.2,90,89,91,91,96.41047,,,9380,4.282,6.69516,4285.502,9.1,78.117,0.2,9370,3.1,,,,Latin America and Caribbean,north,7.087,791,11.733,1.8625,1.0875,0.1375,3.0875
100,Costa Rica,CRI,2010,4.8,16830.43618,4577371,,CRI,Americas,78.26697,23.17162,106.4769,0.008375,0.000355,3.74594,26.8,1.8,9.5,89,83,93,88,98.19809,23.057,,11840,5.86721,8.1134,4577.378,8.7,78.769,0.3,12230,1.5,6.63445,,8.35297,Latin America and Caribbean,north,7.087,791,11.733,1.8625,1.0875,0.1375,3.0875
101,Costa Rica,CRI,2015,4.76,19141.68307,4847805,North America,CRI,Americas,79.44746,24.04187,97.17132,0.008195,0.0003,3.72363,27.3,1.7,11.8,92,93,92,92,99.52898,13.794,,,5.6877,7.82286,4847.804,7.8,79.565,0.4,14920,1.5,7.08254,,8.6025,Latin America and Caribbean,north,7.087,791,11.733,1.8625,1.0875,0.1375,3.0875
102,Croatia,HRV,2000,12.45,18183.58811,4428075,,HRV,Europe,74.41904,19.12541,132.972,0.006695,0.000265,13.24256,25.6,2.1,4.6,,93,94,93,98.43725,23.574,,10730,6.51693,7.6647,4428.075,7.2,72.8078,0.1,10450,,,,,Central and Eastern Europe,north,5.488,828,12.299,2.875,1.0875,3.175,7.1375
103,Croatia,HRV,2005,10.31,23538.75443,4378066,,HRV,Europe,75.2905,19.49626,116.3104,0.006325,0.00027,10.72007,26.1,1.9,6.3,,96,96,96,98.84101,25.353,,15010,5.87477,6.9124,4378.058,5.8,75.24463,0.1,14970,,,,,Central and Eastern Europe,north,5.488,828,12.299,2.875,1.0875,3.175,7.1375
104,Croatia,HRV,2010,10.08,24280.60269,4328163,,HRV,Europe,76.69816,20.48571,105.6965,0.00481,0.000265,11.09707,26.7,1.7,8.1,97,96,97,97,99.26438,28.428,,18190,6.75262,8.09579,4328.165,4.7,76.47561,0.1,19230,1.2,4.23793,,,Central and Eastern Europe,north,5.488,828,12.299,2.875,1.0875,3.175,7.1375
105,Croatia,HRV,2015,9.07,24562.45362,4232874,Europe,HRV,Europe,77.50017,20.89627,95.57539,0.00345,0.000245,9.98867,27.3,1.5,10.4,94,93,94,94,99.58684,31.728,,,5.64048,6.78796,4232.874,4.2,77.27561,0.1,22860,0.7,,,,Central and Eastern Europe,north,5.488,828,12.299,2.875,1.0875,3.175,7.1375
106,Cyprus,CYP,2000,10.86,33013.98251,943288,,CYP,Europe,77.44473,20.77537,79.54356,0.00589,0.000215,9.56314,26.3,1,9.1,89,86,97,97,99.98502,19.082,,18190,2.18027,5.308,943.29,5.7,78.009,,19460,,4.98954,,,Western Europe,north,5.546,867,23.541,2.4,1.925,1.4125,5.7375
107,Cyprus,CYP,2005,12.43,37803.57553,1027656,,CYP,Europe,78.02568,21.2347,75.00707,0.004385,0.0002,11.41462,26.6,0.9,10.2,88,86,98,98,99.9101,18.965,,23400,2.25433,5.43581,1027.662,4.1,78.63,,26320,,6.28667,,10.68676,Western Europe,north,5.546,867,23.541,2.4,1.925,1.4125,5.7375
108,Cyprus,CYP,2010,11.35,38379.0904,1112617,,CYP,Europe,79.7793,22.39457,65.01321,0.002935,0.000155,11.32622,26.7,0.9,10.9,96,87,99,99,99.76115,21.562,,29990,2.99884,6.27935,1112.612,2.9,79.43,,32220,,6.58025,,11.51399,Western Europe,north,5.546,867,23.541,2.4,1.925,1.4125,5.7375
109,Cyprus,CYP,2015,10.76,34472.29851,1160987,Europe,CYP,Europe,80.53699,22.71862,56.64087,0.00219,0.00013,9.59394,26.8,1,12,97,90,97,97,99.61307,26.236,,,2.86543,6.80903,1160.985,2.2,80.35,,31980,,6.3753,,11.94706,Western Europe,north,5.546,867,23.541,2.4,1.925,1.4125,5.7375
110,Czechia,CZE,2000,15,24976.50632,10289374,,CZE,Europe,75.00063,19.28447,124.2605,0.0045,0.000275,13.90077,26.5,2.3,4.5,,97,98,98,99.80612,33.631,,15320,5.0717,5.71755,10289.373,4.5,74.96829,0.1,15890,,3.65089,,,Central and Eastern Europe,north,6.596,885,18.484,4.5125,2.125,1.675,8.3125
111,Czechia,CZE,2005,14.76,30384.44665,10258165,,CZE,Europe,76.14615,20.05272,113.1364,0.00348,0.000215,13.65681,26.6,2.1,5.5,99,97,96,97,99.8282,34.91,,20420,5.4383,6.38101,10258.167,3.5,75.92439,0.1,20970,,3.89038,,,Central and Eastern Europe,north,6.596,885,18.484,4.5125,2.125,1.675,8.3125
112,Czechia,CZE,2010,14.06,33483.13759,10536514,,CZE,Europe,77.63194,21.0841,98.47445,0.002745,0.00017,12.67902,26.8,1.9,7,99,98,99,99,99.8566,35.166,,23990,5.75914,6.92806,10536.518,2.7,77.42439,0.1,25620,,4.06446,,12.2644,Central and Eastern Europe,north,6.596,885,18.484,4.5125,2.125,1.675,8.3125
113,Czechia,CZE,2015,14.25,36168.41856,10601390,Europe,CZE,Europe,78.64225,21.61677,82.94957,0.00233,0.00014,12.76054,27,1.9,9.3,97,99,97,97,99.8801,39.516,,,5.95593,7.24276,10601.397,2.5,78.57805,0.1,31420,,5.78885,,12.80569,Central and Eastern Europe,north,6.596,885,18.484,4.5125,2.125,1.675,8.3125
114,Denmark,DNK,2000,12.67,48907.0114,5341192,,DNK,Europe,77.08439,20.78289,99.82043,0.004745,0.00026,11.67588,24.9,1.2,6.7,,99,97,97,100,29.119,,28240,6.73534,8.10438,5341.194,4.6,76.59268,0.1,28010,,8.08434,,,Western Europe,north,7.526,928,53.579,2.8,1.0125,3.475,7.2875
115,Denmark,DNK,2005,12.29,51483.27379,5421701,,DNK,Europe,78.343,21.67877,89.49168,0.004125,0.0002,11.2638,25.1,1.1,6.9,,95,93,93,100,33.333,,33660,7.61281,9.09057,5421.702,4,77.8439,0.1,34430,0.2,8.08557,,,Western Europe,north,7.526,928,53.579,2.8,1.0125,3.475,7.2875
116,Denmark,DNK,2010,11,50825.41229,5554849,,DNK,Europe,79.39053,22.45507,82.55162,0.0036,0.000155,10.26753,25.3,1.1,6.9,,85,90,90,100,37.211,,41860,8.66742,10.33316,5554.844,3.5,79.1,0.1,43700,,8.55955,,12.50462,Western Europe,north,7.526,928,53.579,2.8,1.0125,3.475,7.2875
117,Denmark,DNK,2015,10.36,52892.64603,5688695,Europe,DNK,Europe,80.87215,23.42956,66.27364,0.003315,0.000135,9.41901,25.3,1,7.1,,91,93,93,100,39.257,,,8.60956,10.22717,5688.695,3.6,80.70244,0.1,50560,0.2,,,12.60896,Western Europe,north,7.526,928,53.579,2.8,1.0125,3.475,7.2875
118,Dominican Republic,DOM,2000,7.19,9322.139196,8471317,,DOM,Americas,69.69408,20.76955,212.4086,0.03534,0.002055,6.7159,24.9,3.8,6.7,68,85,71,78,89.82323,18.498,,5460,1.71051,4.88428,8471.321,33.1,69.429,1.7,6310,5.5,1.88829,,,Latin America and Caribbean,north,5.155,733,6.794,2.4125,1.8375,0.1125,4.3625
119,Dominican Republic,DOM,2005,6.15,10291.30322,9097262,,DOM,Americas,70.3592,21.13372,212.5241,0.03009,0.001745,5.74793,25.4,3.6,9,87,79,86,87,92.21127,,,6670,1.39308,4.35389,9097.257,30,70.771,1.4,7720,5.6,,,,Latin America and Caribbean,north,5.155,733,6.794,2.4125,1.8375,0.1125,4.3625
120,Dominican Republic,DOM,2010,6.11,12782.45717,9695117,,DOM,Americas,72.01631,21.5023,179.6748,0.02927,0.00157,5.5449,25.9,3.3,11.6,83,85,85,88,94.40098,,,9880,2.51639,5.5794,9695.121,28.2,72.046,1.2,10730,2.5,,89.53873,7.35452,Latin America and Caribbean,north,5.155,733,6.794,2.4125,1.8375,0.1125,4.3625
121,Dominican Republic,DOM,2015,6.61,15328.35951,10281675,North America,DOM,Americas,73.25435,21.89487,163.1362,0.026505,0.001385,5.59203,26.4,3.3,14.5,81,90,87,85,96.11691,,,,2.44896,5.98247,10281.68,26,73.241,1,14020,1.8,,91.99121,7.85017,Latin America and Caribbean,north,5.155,733,6.794,2.4125,1.8375,0.1125,4.3625
122,Ecuador,ECU,2000,5.96,8176.344448,12681123,,ECU,Americas,72.65171,21.54377,159.5874,0.02881,0.001585,4.01132,25.3,1.6,4.7,36,99,83,87,82.36792,14.459,,5310,0.96102,3.31529,12681.123,24.3,72.761,0.4,5460,28.2,1.15093,,,Latin America and Caribbean,both,5.976,749,6.019,2.025,0.925,0.0375,2.9875
123,Ecuador,ECU,2005,5.81,9503.69469,13825839,,ECU,Americas,74.45056,22.78274,148.8281,0.025425,0.00124,3.89722,25.9,1.4,5.9,92,93,89,92,85.9632,,,7130,1.68276,5.57841,13825.847,19.4,74.112,0.4,7290,12.1,,,,Latin America and Caribbean,both,5.976,749,6.019,2.025,0.925,0.0375,2.9875
124,Ecuador,ECU,2010,6.16,10340.9703,15011114,,ECU,Americas,75.34759,22.77386,134.0649,0.021075,0.001005,4.27565,26.5,1.3,7.4,90,95,88,91,89.53468,21.111,,8710,3.19234,7.12196,15011.117,15.7,75.089,0.4,8980,5.6,4.50743,91.85404,7.84454,Latin America and Caribbean,both,5.976,749,6.019,2.025,0.925,0.0375,2.9875
125,Ecuador,ECU,2015,4.98,11896.37516,16212022,South America,ECU,Americas,76.30136,22.74778,116.9884,0.018675,0.000815,3.87711,27.1,1.2,9.1,78,84,84,78,93.05378,20.648,,,4.24114,8.58846,16212.02,13,76.143,0.4,11230,3.4,4.9987,94.45566,8.6958,Latin America and Caribbean,both,5.976,749,6.019,2.025,0.925,0.0375,2.9875
126,Egypt,EGY,2000,0.25,7744.715238,68831561,,EGY,Eastern Mediterranean,69.20499,17.70541,166.1537,0.038045,0.002535,0.13925,27.6,3.7,9,98,98,98,98,97.87095,,,6260,1.73207,4.92244,68831.561,37.2,68.602,0.1,6000,,,,,Middle East and Northern Africa,north,4.362,694,3.548,0.075,0.05,0.0125,0.1375
127,Egypt,EGY,2005,0.29,8397.032444,75523576,,EGY,Eastern Mediterranean,69.61212,17.17321,172.207,0.0289,0.001675,0.14879,28.2,3.3,11.5,98,98,98,98,98.23808,,,7610,1.58931,4.92229,75523.569,29.5,69.434,0.1,7230,,4.79443,71.37363,,Middle East and Northern Africa,north,4.362,694,3.548,0.075,0.05,0.0125,0.1375
128,Egypt,EGY,2010,0.36,10340.07323,82761244,,EGY,Eastern Mediterranean,69.73011,17.11022,177.9038,0.02681,0.00125,0.19766,28.8,3,14.2,97,96,97,97,98.59972,,,10360,1.36769,4.1532,82761.235,24.2,70.349,0.1,9620,1.7,,72.04785,,Middle East and Northern Africa,north,4.362,694,3.548,0.075,0.05,0.0125,0.1375
129,Egypt,EGY,2015,0.4,10570.44523,92442549,Africa,EGY,Eastern Mediterranean,70.25935,16.55251,165.6337,0.018055,0.000925,0.18288,29.5,2.8,17,93,92,93,93,98.96033,8.217,,,1.66733,5.33657,92442.547,20,71.302,0.1,10750,1.3,,,,Middle East and Northern Africa,north,4.362,694,3.548,0.075,0.05,0.0125,0.1375
130,El Salvador,SLV,2000,3.86,6548.63137,5887930,,SLV,Americas,68.7833,19.18935,218.0215,0.027555,0.00144,2.65096,26,2.1,5.7,99,97,98,99,77.78591,,,4880,3.94315,8.92468,5887.936,27.2,68.875,0.6,4370,12.2,2.83868,,,Latin America and Caribbean,north,6.068,679,3.769,0.65,0.8625,0.025,1.5375
131,El Salvador,SLV,2005,3.8,6870.629839,6052124,,SLV,Americas,70.40051,20.17746,206.3802,0.02266,0.001,2.67848,26.6,1.9,7.6,89,99,89,89,83.21478,17.11,,5980,4.24825,8.43694,6052.123,21,70.124,0.7,5070,10.4,3.17785,,,Latin America and Caribbean,north,6.068,679,3.769,0.65,0.8625,0.025,1.5375
132,El Salvador,SLV,2010,3.31,7328.71991,6183877,,SLV,Americas,72.23355,21.11884,191.999,0.01581,0.00071,2.28954,27.1,1.7,9.2,89,92,89,89,89.82706,,,6920,4.44353,8.23629,6183.875,16.5,71.21,0.7,5970,5.5,4.04808,84.49272,6.36607,Latin America and Caribbean,north,6.068,679,3.769,0.65,0.8625,0.025,1.5375
133,El Salvador,SLV,2015,3.59,8143.224442,6325121,North America,SLV,Americas,73.44804,21.75676,179.5096,0.013555,0.000565,2.54149,27.6,1.6,11.2,91,95,92,91,96.03034,,,,4.9063,7.63034,6325.124,13.2,72.412,0.6,7110,1.9,3.90988,87.96985,,Latin America and Caribbean,north,6.068,679,3.769,0.65,0.8625,0.025,1.5375
134,Estonia,EST,2000,9.57,17778.96558,1399111,,EST,Europe,70.92174,18.7159,215.6978,0.009475,0.000625,9.03292,25.4,2.5,3.2,,93,93,93,99.11478,31.242,,9380,3.92171,5.16451,1399.112,8.7,70.41707,0.4,9070,,5.34021,99.7672,12.20844,Central and Eastern Europe,north,5.517,868,17.737,2.8,2.425,0.7375,5.9625
135,Estonia,EST,2005,15.65,26093.15911,1355650,,EST,Europe,72.99564,19.63243,187.3081,0.00582,0.000385,16.58,25.8,2.2,3.7,95,96,96,96,99.3177,31.43,,15820,3.76655,5.09132,1355.648,5.6,72.56829,0.7,15870,0.7,4.84486,,,Central and Eastern Europe,north,5.517,868,17.737,2.8,2.425,0.7375,5.9625
136,Estonia,EST,2010,12.39,26133.38181,1332103,,EST,Europe,75.89348,20.80932,134.4969,0.00374,0.000285,14.83044,26.1,2,4.7,94,95,94,94,99.52898,32.422,,19460,4.69948,6.33369,1332.101,3.6,75.42927,0.7,20440,0.7,5.527,,13.76009,Central and Eastern Europe,north,5.517,868,17.737,2.8,2.425,0.7375,5.9625
137,Estonia,EST,2015,12.39,31146.75452,1315330,Europe,EST,Europe,77.65666,21.98008,115.7813,0.00283,0.00025,16.69623,26.4,1.9,6,91,93,93,93,99.71053,34.152,,,4.81164,6.3863,1315.325,2.5,77.59024,0.8,28570,0.5,5.13904,,13.90054,Central and Eastern Europe,north,5.517,868,17.737,2.8,2.425,0.7375,5.9625
