,Country,Code,Year,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)","GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent,country_code,region,life_expect,life_exp60,adult_mortality,infant_mort,age1-4mort,alcohol,bmi,age5-19thinness,age5-19obesity,hepatitis,measles,polio,diphtheria,basic_water,doctors,hospitals,gni_capita,gghe-d,che_gdp,une_pop,une_infant,une_life,une_hiv,une_gni,une_poverty,une_edu_spend,une_literacy,une_school,Region,Hemisphere,HappinessScore,HDI,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita,Alcohol_PerCapita
16,Australia,AUS,2000,11.72,38343.00215,18991434,,AUS,Western Pacific,79.64923,23.08433,76.93143,0.005185,0.0003,10.17,26.2,0.7,9.4,,91,90,90,99.7123,,,25580,5.20626,7.61387,18991.431,5.1,79.23415,0.1,25570,,4.89147,,,Australia and New Zealand,south,7.313,938,49.897,3.2625,0.9,2.65,6.8125
17,Australia,AUS,2005,12.08,42217.13635,20178543,,AUS,Western Pacific,80.96873,24.03159,68.12927,0.00469,0.000225,10.3,26.7,0.7,10.6,95,94,92,92,99.77814,27.794,,31380,5.46539,7.99012,20178.54,4.8,80.84146,0.1,31360,,4.9103,,11.86393,Australia and New Zealand,south,7.313,938,49.897,3.2625,0.9,2.65,6.8125
18,Australia,AUS,2010,12.39,44991.78371,22154687,,AUS,Western Pacific,82.03266,24.88181,63.06263,0.00416,0.000195,10.52,26.9,0.6,11.4,92,94,92,92,99.88462,33.429,,37550,5.78662,8.43084,22154.679,4,81.69512,0.1,37800,0.5,5.55006,,12.41071,Australia and New Zealand,south,7.313,938,49.897,3.2625,0.9,2.65,6.8125
19,Australia,AUS,2015,10.83,47636.31964,23932499,Oceania,AUS,Western Pacific,82.58083,25.34949,62.16942,0.00354,0.000165,9.68,27.1,0.6,12.2,93,95,93,93,99.97,34.886,,,6.35341,9.31474,23932.502,3.2,82.4,0.1,45320,,5.31196,,12.27517,Australia and New Zealand,south,7.313,938,49.897,3.2625,0.9,2.65,6.8125
20,Austria,AUT,2000,13.12,46403.2777,8069276,,AUT,Europe,78.3752,22.10033,93.71532,0.00455,0.00024,13.3457,25,1.7,5.8,33,75,71,81,100,38.492,,28450,6.82579,9.20371,8069.276,4.6,78.12683,,29120,,5.58881,,,Western Europe,north,7.119,906,44.731,3.4875,0.9375,2.3875,6.8125
21,Austria,AUT,2005,12.79,49316.2647,8253656,,AUT,Europe,79.63774,23.00371,83.69907,0.004145,0.000205,12.13878,25.2,1.7,6.6,86,75,86,86,100,43.355,,33300,6.9942,9.62703,8253.65,4.1,79.33171,,34940,0.2,5.24937,,11.65721,Western Europe,north,7.119,906,44.731,3.4875,0.9375,2.3875,6.8125
22,Austria,AUT,2010,12.2,51769.14556,8409945,,AUT,Europe,80.61689,23.62657,74.42898,0.003565,0.00018,12.1,25.4,1.8,7.4,86,80,86,86,100,48.016,,40430,7.39958,10.22102,8409.949,3.6,80.58049,,42360,0.5,5.70048,,11.81884,Western Europe,north,7.119,906,44.731,3.4875,0.9375,2.3875,6.8125
23,Austria,AUT,2015,12.07,52798.09946,8678667,Europe,AUT,Europe,81.37255,23.96521,64.33576,0.002885,0.00014,11.6,25.5,1.9,8.4,93,96,93,93,100,51.035,,,7.51209,10.36779,8678.66,3,81.19024,,49390,0.7,5.45675,,12.17804,Western Europe,north,7.119,906,44.731,3.4875,0.9375,2.3875,6.8125
24,Azerbaijan,AZE,2000,3.45,4063.471641,8122743,,AZE,Europe,66.45919,17.11792,161.0383,0.06995,0.00359,0.6599,25.6,3.2,2,,67,75,76,73.3805,35.743,,3350,0.86689,3.89368,8122.741,61.3,66.763,,3470,,3.85399,,,Central and Eastern Europe,north,5.291,757,3.881,0.2625,0.575,0.0625,0.9
25,Azerbaijan,AZE,2005,1.81,7222.036075,8538610,,AZE,Europe,68.67351,17.09591,159.9939,0.04339,0.002085,0.73444,26,3,2.5,49,67,79,75,80.69355,35.819,,6290,0.91787,7.43525,8538.605,44.6,68.747,,6380,,2.97462,,,Central and Eastern Europe,north,5.291,757,3.881,0.2625,0.575,0.0625,0.9
