,Country,Capital,lat,lng,wine,spirits,beer,region,Code
124,Libya,Tripoli,32.887209,13.191338,,,,Eastern Mediterranean,LBY
126,Lithuania,Vilnius,54.687156,25.279651,,,,Europe,LTU
127,Luxembourg,Luxembourg,49.611621,6.131935,,,,Europe,LUX
130,Madagascar,Antananarivo,-18.87919,47.507905,,,,Africa,MDG
131,Malawi,Lilongwe,-13.962612,33.774119,,,,Africa,MWI
132,Malaysia,Kuala Lumpur,3.139003,101.686855,,,,Western Pacific,MYS
133,Maldives,Malé,4.175496,73.509347,,,,South-East Asia,MDV
134,Mali,Bamako,12.639232,-8.002889,,,,Africa,MLI
135,Malta,Valletta,35.898909,14.514553,,,,Europe,MLT
138,Mauritania,Nouakchott,18.07353,-15.958237,,,,Africa,MRT
139,Mauritius,Port Louis,-20.166896,57.502332,,,,Africa,MUS
141,Mexico,Mexico City,19.432608,-99.133208,,238.0,,Americas,MEX
145,Mongolia,Ulaanbaatar,47.886399,106.905744,,,,Western Pacific,MNG
146,Montenegro,Podgorica,42.43042,19.259364,,1.0,,Europe,MNE
148,Morocco,Rabat,33.97159,-6.849813,,,,Eastern Mediterranean,MAR
149,Mozambique,Maputo,-25.891968,32.605135,,,,Africa,MOZ
152,Namibia,Windhoek,-22.560881,17.065755,,,,Africa,NAM
154,Nepal,Kathmandu,27.717245,85.323961,,,,South-East Asia,NPL
155,Netherlands,Amsterdam,52.370216,4.895168,,32.0,,Europe,NLD
158,New Zealand,Wellington,-41.28646,174.776236,24.0,1.0,,Western Pacific,NZL
159,Nicaragua,Managua,12.114993,-86.236174,,7.0,,Americas,NIC
160,Niger,Niamey,13.511596,2.125385,,,,Africa,NER
161,Nigeria,Abuja,9.076479,7.398574,,,,Africa,NGA
167,Norway,Oslo,59.913869,10.752245,,,,Europe,NOR
168,Oman,Muscat,23.58589,58.405923,,,,Eastern Mediterranean,OMN
169,Pakistan,Islamabad,33.729388,73.093146,,,,Eastern Mediterranean,PAK
172,Panama,Panama City,9.101179,-79.402864,,4.0,,Americas,PAN
173,Papua New Guinea,Port Moresby,-9.4438,147.180267,,,,Western Pacific,PNG
174,Paraguay,Asuncion,-25.26374,-57.575926,,,,Americas,PRY
175,Peru,Lima,-12.046374,-77.042793,,2.0,,Americas,PER
176,Philippines,Manila,14.599512,120.98422,,1.0,,Western Pacific,PHL
178,Poland,Warsaw,52.229676,21.012229,,19.0,,Europe,POL
179,Portugal,Lisbon,38.722252,-9.139337,,2.0,,Europe,PRT
181,Qatar,Doha,25.285447,51.53104,,,,Eastern Mediterranean,QAT
183,Romania,Bucharest,44.426767,26.102538,,,,Europe,ROU
184,Russia,Moscow,55.755826,37.6173,,27.0,,Europe,RUS
185,Rwanda,Kigali,-1.957875,30.112735,,,,Africa,RWA
187,Saint Vincent and the Grenadines,Kingstown,13.160025,-61.224816,,,,Americas,VCT
188,Samoa,Apia,-13.850696,-171.751355,,,,Western Pacific,WSM
191,Saudi Arabia,Riyadh,24.749403,46.902838,,,,Eastern Mediterranean,SAU
192,Senegal,Dakar,14.764504,-17.366029,,,,Africa,SEN
193,Serbia,Belgrade,44.786568,20.448922,,1.0,,Europe,SRB
194,Seychelles,Victoria,-4.619143,55.451315,,,,Africa,SYC
195,Sierra Leone,Freetown,8.465677,-13.231722,,,,Africa,SLE
196,Singapore,Singapore,1.280095,103.850949,,,,Western Pacific,SGP
197,Slovakia,Bratislava,48.145892,17.107137,,2.0,,Europe,SVK
198,Slovenia,Ljubljana,46.056947,14.505751,,,,Europe,SVN
199,Solomon Islands,Honiara,-9.445638,159.9729,,,,Western Pacific,SLB
200,Somalia,Mogadishu,2.046934,45.318162,,,,Eastern Mediterranean,SOM
201,South Africa,Pretoria,-25.747868,28.229271,2.0,1.0,,Africa,ZAF
205,South Sudan,Juba,4.859363,31.57125,,,,Africa,SSD
206,Spain,Madrid,40.416775,-3.70379,6.0,7.0,,Europe,ESP
207,Sri Lanka,Sri Jayawardenepura Kotte,6.89407,79.902478,,,,South-East Asia,LKA
212,Sudan,Khartoum,15.500654,32.559899,,,,Eastern Mediterranean,SDN
213,Suriname,Paramaribo,5.852036,-55.203828,,,,Americas,SUR
216,Sweden,Stockholm,59.329323,18.068581,,38.0,,Europe,SWE
217,Switzerland,Bern,46.947974,7.447447,,3.0,,Europe,CHE
218,Syria,Damascus,33.513807,36.276528,,1.0,,Eastern Mediterranean,SYR
