first_pca,second_pca
-0.333008996413072,0.33696284179778246
-0.19476866461302497,-0.4071564939984741
-0.0,-1.1102230246251565e-16
-0.218123211106705,-0.41208754195586494
-0.333492199482134,-0.025899255331187008
-0.2497040247761309,-0.166750845975434
0.29683631379857894,-0.31518601844362903
0.3994122728297792,-0.14360549306190198
0.3627177395601278,0.1658410487479675
0.29775958992452983,0.11112526527105968
-0.016456327712381685,0.22592952128288196
-0.045331800398167206,-0.38631062024133067
-0.22121398206966594,-0.2207850352829537
-0.33300899641307224,0.3369628417977824
